model,ImageNet-top1_v1-score,Rajalingham2018-i2n_v2-score
"mobilenet_v2_0_5_224",".616",".365"
"resnet_152_v2",".772",".573"
"mobilenet_v2_0_5_192",".592",".372"
"BiT-S-R152x4",".735",".478"
"artResNet18_1",".001",".096"
"xception",".670",".441"
"vonegrcnn_62e_nobn",".702",".503"
"resnet_50_v1_spiking_l3",".007",".009"
"cv_18_dagger_408_pretrained",".740",".500"
"resnet50_imagenet_10_seed-0",".039",".165"
"vonegrcnn_52e_full",".704",".522"
"antialiased-rnext101_32x8d",".757",".502"
"effnetb1_cutmixrespatch_SAM_robust32_e10_manylayers_324x288",".414",".625"
"effnetb1_cutmixrespatch_SAM_robust32_e2_manylayers_324x288",".402",".608"
"effnetb1_cutmixpatch_augmix_robust32_e5_324x288",".471",".646"
"nasnet_large",".792",".491"
"SWSL_resnext101_32x8d",".827",".514"
"convnext_small_imagenet_10_seed-0",".007",".009"
"resnet50_finetune_cutmix_e3_robust_linf8255_e0_247x234",".403",".549"
"inception_v4",".761",".539"
"resnet-152_v2-tf",".778",".528"
"pnasnet_large-tf",".829",".515"
"resnet_152_v1",".749",".542"
"nasnet_large-tf",".827",".470"
"resnet-50_v2-tf",".756",".531"
"resnet-152_v1-tf",".768",".533"
"resnet101",".744",".517"
"densenet-201-keras",".772",".537"
"resnet-101_v1-tf",".764",".561"
"inception_v3-tf",".780",".477"
"resnet50",".729",".484"
"densenet-169-keras",".759",".543"
"resnet50_l2_3_robust",".568",".475"
" vonegrcnn_62e_nobn",".702",".515"
"densenet-121-keras",".745",".535"
"resnet-50_v1-tf",".752",".526"
" vonegrcnn_52e_full",".703",".518"
"inception_v4-tf",".802",".537"
" vonegrcnn_47e",".699",".517"
"CLIP-RN50",".526",".225"
"CORnet-S",".692",".545"
"inception_v2-tf",".739",".505"
"mobilenet_v2_1.4_224-tf",".750",".500"
"mobilenet_v2_1.0_224-tf",".718",".521"
"resnet50_finetune_cutmix_AVGe2e3_robust_linf8255_e0_247x234",".413",".536"
"vgg-16-keras",".715",".461"
"inception_v1-tf",".698",".518"
"mobilenet_v2_1.3_224-tf",".744",".500"
"vgg-19-keras",".711",".494"
"resnet-101_v2-tf",".774",".555"
"resnet50_moco_v2",".622",".469"
"mobilenet_v2_0.75_192-tf",".687",".524"
"resnet50_linf_8_robust",".463",".452"
"mobilenet_v2_0.75_224-tf",".698",".533"
"mobilenet_v2_1.0_192-tf",".707",".503"
"mobilenet_v2_0.5_224-tf",".654",".488"
"mobilenet_v2_1.0_160-tf",".688",".472"
"alexnet_l2_3_robust",".399",".363"
"nasnet_mobile-tf",".740",".406"
"mobilenet_v2_0.5_192-tf",".639",".454"
"mobilenet_v2_1.0_128-tf",".653",".447"
"alexnet",".519",".370"
"alexnet",".519",".370"
"alexnet",".519",".370"
"alexnet-baseline",".519",".370"
"inception_resnet_v2",".804",".499"
"alexnet",".538",".359"
"imagenet_l2_10_0",".360",".310"
"mobilenet_v2_0.75_160-tf",".664",".473"
"mobilenet_v2_1.0_96",".603",".443"
"resnet50_simclr",".507",".438"
"0.5x_resnet-18_LC_w_sh_1_iter",".566",".255"
"AdvProp_efficientnet-b0",".724",".396"
"alexnet_random_linf8_perturb",".548",".371"
"tf_efficientnetv2_s_in21ft1k_robust_linf12255_400x400",".019",".407"
"xception-keras",".790",".508"
"AT_efficientnet-b4",".718",".503"
"mobilenet_v2_0.35_224",".603",".474"
"mobilenet_v2_0.75_96",".588",".451"
"barlow-twins-resnet50",".001",".276"
"alexnet_robust_correct",".355",".332"
"mobilenet_v2_0.75_128",".632",".464"
"mobilenet_v2_0.5_160",".610",".448"
"fixres_resnext101_32x48d_wsl",".863",".561"
"resnet-50-pytorch",".752",".528"
"alexnet_linf_8_robust",".283",".341"
